beds,$sqft,location,address,price,baths,sqft,days
3,$183,Lake Oswego,20 Monticello DrListed by: Redfin,"$705,000",3.5,"3,848",44 days
3,$183,Lake Oswego,2545 Orchard Hill LnListed by: Redfin,"$422,000",2,"2,297",59 days
5,$170,Lake Oswego,20 Juarez St,"$590,000",4,"3,464",33 days
2,$191,Lake Oswego,47 Greenridge Ct,"$225,000",1.5,"1,176",106 days
5,$185,Lake Oswego,2 Creekside TerSold by: Redfin,"$540,000",2.5,"2,906",135 days
3,$101,Lake Oswego,48 Eagle Crest Dr Apt 2D,"$165,000",2,"1,623",141 days
3,$218,Lake Oswego,104 Garibaldi St,"$671,880",2.5,"3,074",162 days
2,$234,MOUNTAIN PARK,21 Oriole LnSold by: Redfin,"$345,000",2,"1,473",197 days
2,$174,MOUNTAIN PARK,45 Eagle Crest Dr Apt 208,"$182,500",2,"1,046",199 days
3,$233,Jameson Ridge Townhomes,12802 SW Boones Ferry Rd,"$339,000",2.5,"1,454",267 days
4,$161,"Mt. Park, Mountain Park",96 Garibaldi St,"$778,445",3.5,"4,819",284 days
3,$282,Lake Oswego,25 Oriole Ln,"$412,000",2,"1,460",302 days
2,$182,Mountain Park,10 Condolea Dr,"$240,000",2,"1,312",380 days
6,$122,Lake Oswego,19 Monticello Dr,"$450,500",3,"3,678",432 days
4,$219,Mountain Park,44 Aquinas St,"$410,000",2,"1,870",457 days
3,$151,Lake Oswego,25 Partridge LnSold by: Redfin,"$476,000",2.5,"3,148",459 days
3,$102,Mountain Park,103 Garibaldi St,"$340,000",3.5,"3,322",501 days
4,$126,Lake Oswego,7 Bernini Ct,"$420,000",2.5,"3,314",506 days
2,$267,Lake Oswego,12465 SW Boones Ferry Rd,"$280,000",1,"1,048",523 days
3,$193,Mountain Park,47 Oriole Ln,"$378,000",2.5,"1,958",540 days
3,$187,Lake Oswego,129 Kingsgate Rd,"$300,000",2,"1,604",599 days
3,$188,MOUNTAIN PARK,47 Da Vinci St,"$462,000",2.5,"2,445",603 days
4,$212,Mountain Park,20 Aquinas St,"$385,000",2.5,"1,814",634 days
3,$152,Mountain Park,2 Morningview Cir,"$450,000",2.5,"2,954",680 days
3,$210,Lake Oswego,43 Aquinas St,"$449,000",2.5,"2,138",716 days
4,$204,Westlake,13053 Sierra Ct,"$452,500",2.5,"2,215",740 days
4,$135,Mountain Park,12 Partridge Ln,"$450,000",2.5,"3,309",793 days
2,$101,Lake Oswego,3101 McNary Pkwy Apt 12,"$176,000",2.5,"1,726",841 days
3,$151,Lake Oswego,28 Greenridge Ct,"$288,500",2,"1,900",848 days
4,$186,"Westlake, Bay Creek",13057 Sierra Vista Dr,"$469,000",2.5,"2,510",855 days
2,$235,Lake Oswego,12892 Boones Ferry Rd #106,"$267,500",2.5,"1,136",883 days
2,$255,Lake Oswego,12894 Boones Ferry Rd,"$290,000",2.5,"1,136",915 days
3,$136,Lake Oswego,10 Juarez St,"$510,000",2.5,"3,740",925 days
3,$152,Lake Oswego,45 Eagle Crest Dr Apt 522,"$205,000",2,"1,348",1032 days
3,$172,Mountain Park,2 Abelard St,"$419,900",3.5,"2,435",1040 days
4,$216,Westlake / Bay Creek Estates,5482 Bay Creek Dr,"$552,878",2.5,"2,554",1090 days
3,$155,Mountain Park,9 Bernini Ct,"$493,000",2.5,"3,166",1093 days
2,$148,Mountain Park,47 Eagle Crest Dr Unit 21,"$138,800",1,932,2 days
4,$238,SUMMIT AT MOUNTAIN PARK,30 Morningview Cir,"$543,000",3,"2,276",3 days
2,$172,MOUNTAIN PARK,3433 McNary Pkwy Apt 301,"$208,000",2.5,"1,208",5 days
2,$173,Jefferson Park Condo,86 Cervantes Cir #86,"$158,000",1.5,912,5 days
2,$172,Lake Oswego,42 Cervantes Cir Unit 4-B,"$157,000",1.5,912,9 days
2,$209,Lake Oswego,24 Condolea Dr,"$303,000",2,"1,448",12 days
2,$189,MT. PARK RECREATION CENTER,20 Crestfield Ct,"$175,000",1.5,923,15 days
2,$161,Lake Oswego,61 Oswego Smt #61,"$196,000",2,"1,212",15 days
3,$190,Greenridge Townhomes,44 Greenridge Ct,"$380,000",2.5,"1,996",15 days
3,$156,MT. PARK,86 Greenridge Ct,"$414,000",2,"2,652",16 days
2,$144,Lake Oswego,74 Galen St,"$143,464",2,995,24 days
2,$167,Lake Oswego,44 Eagle Crest Dr Apt 32,"$152,000",1,908,24 days
3,$211,Lake Oswego,32 Morningview Cir,"$587,500",2.5,"2,783",29 days
2,$167,Lake Oswego,342 Cervantes Cir Unit 2-C,"$185,000",1.5,"1,104",29 days
4,$224,MOUNTAIN PARK,32 Spinosa,"$570,000",3.5,"2,542",29 days
2,$190,Mountain Park,309 Cervantes,"$229,900",2,"1,209",30 days
2,$174,Ridgecrest,44 Eagle Crest Dr,"$158,000",1,908,32 days
3,$304,Lake Oswego,7 Peacock Pl,"$422,000",2.5,"1,388",36 days
4,$221,Lake Oswego,21 Partridge Ln,"$548,000",3,"2,478",37 days
2,$129,Lake Oswego,47 Eagle Crest Dr Unit 17,"$120,500",1,932,38 days
4,$257,Alto Park Acres,12747 SW 22nd Ave,"$1,170,000",3.5,"4,546",38 days
2,$197,MOUNTAIN PARK,4083 Jefferson Pkwy #30,"$239,000",2.5,"1,210",43 days
3,$208,MT. PARK,19 Aquinas St,"$497,100",2.5,"2,379",44 days
2,$173,Mtn Park,334 Cervantes Cir Unit 13-A,"$144,350",1,832,44 days
1,$205,Mountain Park,65 Galen St,"$141,500",1,689,45 days
2,$191,Mountain Park,241 Cervantes,"$265,000",2,"1,384",45 days
3,$181,Lake Oswego,48 Eagle Crest Dr Apt 5B,"$281,000",2,"1,550",46 days
3,$240,Mountain Park,128 Kingsgate Rd,"$407,000",2.5,"1,689",50 days
2,$147,Lake Oswego,30 Cervantes Cir Unit 5-B,"$164,000",1.5,"1,112",50 days
2,$257,Lake Oswego,26 Preakness Ct,"$377,500",1.5,"1,464",50 days
2,$241,MT. PARK,26 Northview Ct,"$506,000",3,"2,095",52 days
2,$255,Lake Oswego,4 Morningview Pl,"$480,000",2.5,"1,880",52 days
3,$205,Lake Oswego,67 Condolea Ter,"$487,500",3,"2,373",53 days
3,$201,Lake Oswego,5 Partridge Ln,"$559,000",2.5,"2,780",53 days
3,$178,Greenridge Townhomes Mt Park,90 Greenridge Ct,"$352,500",2.5,"1,980",54 days
2,$160,MT. PARK RECREATION CENTER,77 Galen St,"$158,900",2,993,57 days
2,$159,MOUNTAIN PARK,206 Oswego Smt #206,"$240,000",2,"1,506",61 days
3,$239,Galen Park Estates,13005 Princeton Ct,"$549,000",2.5,"2,294",61 days
3,$224,Arnold Creek / Stephenson,12511 Boones Ferry Rd,"$423,000",2,"1,887",67 days
3,$189,Eagles Crest Condominium,45 Eagle Crest Dr Apt 519,"$275,000",2,"1,453",72 days
2,$119,OSWEGO SUMMIT CONDO,167 Oswego Smt #167,"$180,000",2,"1,506",73 days
2,$180,Mountain Park,165 Oswego Smt #165,"$250,000",2,"1,383",74 days
2,$178,KINGSGATE,45 Crestfield Ct #45,"$165,000",1.5,923,78 days
2,$244,MT PARK,12 Summit Ridge Ct,"$428,000",2.5,"1,750",81 days
4,$195,Lake Oswego,72 Nansen Smt,"$879,000",3,"4,485",82 days
2,$244,Mt Park,5 Summit Ridge Ct,"$385,000",2.5,"1,576",85 days
1,$235,OSWEGO SUMMIT,57 Oswego Smt #57,"$180,000",1,764,85 days
3,$299,Lake Oswego,5674 La Mesa Ct,"$540,000",2,"1,802",87 days
