beds,$sqft,location,address,price,baths,sqft,days
4,$169,Lake Oswego,1551 SW Woodland TerListed by: Redfin,"$459,000",2,"2,712",794 days
4,$215,Lake Oswego,1641 Ash St,"$595,000",3,"2,764",19 days
3,$193,Lake Oswego,1731 SW Woodland Ter,"$525,000",2.5,"2,714",19 days
4,$217,PALISADES HEIGHTS,2760 Overlook Dr,"$532,000",2.5,"2,441",36 days
5,$149,Lake Oswego,1471 SW Woodland Ter,"$800,000",4.5,"5,362",59 days
3,$239,Lake Oswego,2280 Fernwood Cir,"$510,000",2,"2,129",67 days
3,$184,Lake Oswego,1400 Parrish St #1,"$347,500",2.5,"1,880",74 days
3,$197,Lake Oswego,1402 Parrish St,"$367,000",2.5,"1,862",78 days
3,$188,HALLINAN,1680 Pine St,"$465,000",3,"2,472",124 days
3,$233,HALLINAN,1430 SW Larch St,"$532,000",3,"2,279",141 days
4,$244,Ridge Lake Park,17927 Ridge Lake Dr,"$621,500",2.5,"2,544",157 days
2,$347,South Oswego,1248 Oak St,"$312,500",1,900,183 days
4,$203,Lake Oswego,1330 Pine St,"$770,000",3.5,"3,775",200 days
4,$237,Lake Oswego,2189 Fernwood Cir,"$695,000",3,"2,921",289 days
4,$246,Westridge,2464 Palisades Crest Dr,"$960,000",2.5,"3,897",327 days
2,$324,Lake Oswego,1790 SW Conifer Ter,"$325,000",1,"1,003",381 days
5,$186,Lake View Villas,2251 Summit Dr,"$500,000",3,"2,676",386 days
4,$164,Lake Oswego,2737 Tolkien Ln,"$722,337",3.5,"4,397",400 days
4,$205,Tolkien Heights,2699 Tolkien Ln,"$640,000",2.5,"3,115",411 days
4,$243,Lake Oswego,15761 Springbrook Ct,"$733,000",3,"3,007",416 days
4,$202,Lake Oswego,1670 Pine St,"$665,000",3.5,"3,286",471 days
4,$145,Lake Oswego,1785 Palisades Terrace Dr,"$735,275",4.5,"5,052",484 days
4,$177,Lake Oswego,17749 Leafy Ln,"$585,000",3,"3,300",498 days
