beds,$sqft,location,address,price,baths,sqft,days
4,$321,Alto Park,12838 Alto Park Rd,"$1,437,500",3.5,"4,475",113 days
5,$258,North Shore/Country Club,480 Iron Mountain Blvd,"$794,250",3.5,"3,067",114 days
4,$398,Lake Oswego,14056 Goodall Rd,"$2,389,650",5.5,"6,000",116 days
4,$417,FOREST HIGHLANDS,915 Atwater Rd,"$1,712,500",4.5,"4,102",116 days
6,$264,FIRST ADDITION,667 3rd St,"$825,000",6,"3,120",120 days
5,$279,Lake Oswego,1979 Country Club Rd,"$1,149,000",5.5,"4,115",123 days
4,$269,Lake Oswego,670 Iron Mountain Blvd,"$1,459,000",4,"5,421",124 days
4,$279,Lake Oswego,1899 Country Club Rd,"$450,000",2,"1,612",127 days
2,$286,Lake Oswego,510 2nd St #24,"$435,000",2,"1,520",127 days
5,$191,Lake Oswego,490 G Ave,"$408,000",2,"2,126",130 days
5,$306,First Addition,556 7th St,"$1,198,000",3.5,"3,911",135 days
4,$320,Forest Highlands,13900 Goodall Rd,"$1,350,000",3.5,"4,212",135 days
2,$219,Lake Oswego,5056 Foothills Dr Unit C,"$275,000",2,"1,252",136 days
3,$298,Lake Oswego,13680 Shireva Dr,"$448,900",2,"1,504",137 days
4,$189,LAKE OSWEGO,741 Briercliff Ln,"$525,000",3,"2,765",137 days
3,$241,RED FOX HILLS,1273 Rockinghorse Ln,"$530,000",2.5,"2,192",143 days
3,$393,"1st Addition, Lake Oswego",822 6th St,"$1,082,000",3,"2,748",150 days
2,$408,Lake Oswego,547 2nd St #202,"$625,000",2,"1,529",155 days
5,$284,FOREST HIGHLANDS,13599 Knaus Rd,"$1,953,000",7,"6,874",156 days
,,Lake Oswego,1801 Ridgecrest Dr,"$2,100,000",,,157 days
,,Lake Oswego,1640 Country Commons Ln,"$460,000",,,157 days
3,$261,Dolph Place,14221 Dolph Ct,"$545,000",2.5,"2,081",169 days
4,$501,THE HIGHLANDS,1933 Highlands Loop,"$2,525,000",3.5,"5,031",171 days
6,$354,FOREST HILLS,1144 Bayberry Rd,"$1,250,000",3,"3,523",176 days
4,$382,First Addition,717 5th St,"$1,075,000",2.5,"2,809",177 days
2,$324,FIRST ADDITION,136 D Ave,"$565,000",2.5,"1,741",178 days
4,$352,Lake Oswego,667 Iron Mountain Blvd,"$1,650,000",4.5,"4,679",179 days
2,$404,Lake Oswego,886 9th St,"$1,150,000",2.5,"2,842",183 days
2,$295,Lake Oswego,454 5th St,"$323,000",1.5,"1,092",183 days
2,$255,Lake Oswego,524 Country Club Rd,"$555,000",2,"2,168",185 days
,,Lake Oswego,1007 Sunningdale Rd,"$560,000",,,197 days
4,$349,ALTO PARK ESTATES,12822 Alto Park Rd,"$1,199,000",4.5,"3,426",197 days
4,$393,1ST ADDITION,806 6th St,"$1,075,000",2.5,"2,730",204 days
3,$204,Red Fox Hills Townhome Assoc,1857 Boca Ratan Dr,"$330,000",2,"1,611",204 days
4,$317,Lake Oswego,13624 Goodall Rd,"$1,399,000",5,"4,411",211 days
4,$338,Forest Hills,1455 Chandler Rd,"$1,275,000",3.5,"3,764",225 days
5,$306,FOREST HIGHLANDS,1300 Forest Meadows Way,"$1,144,500",3.5,"3,734",226 days
4,$397,First Addition,706 5th St,"$1,085,000",2.5,"2,730",229 days
6,$228,"Forest Hills,1st. Addition",1211 Bayberry Rd,"$977,750",5,"4,277",234 days
5,$317,FIRST ADDITION,769 2nd St,"$1,050,000",2.5,"3,308",239 days
3,$391,1ST ADDITION,725 5th St,"$1,075,000",3,"2,748",241 days
3,$206,Lake Oswego,1293 Timberline Dr,"$612,000",3,"2,957",242 days
4,$359,Forest Hills,1097 Chandler Rd,"$1,910,000",4.5,"5,313",250 days
5,$209,Lake Oswego,14121 SW Redwood Ct,"$567,500",3.5,"2,703",253 days
4,$307,First Addition,599 7th St,"$758,000",3,"2,468",253 days
4,$302,Lake Oswego,13710 Knaus Rd,"$1,750,000",5,"5,780",262 days
5,$314,Lake Oswego,1075 Chandler Rd,"$1,794,421",4.5,"5,710",270 days
4,$229,Lake Oswego,13084 Knaus Rd,"$755,000",2.5,"3,285",277 days
3,$282,Lake Oswego,49 SW Briarwood Rd,"$610,000",2,"2,162",282 days
6,$289,Lake Oswego,635 Iron Mountain Blvd,"$1,369,000",3.5,"4,736",289 days
4,$359,1st Addition LO,475 8th St,"$970,000",2.5,"2,699",290 days
3,$174,Lake Oswego,1638 Boca Ratan Dr,"$245,000",1.5,"1,403",295 days
3,$199,Lake Oswego,1325 Bonniebrae Dr,"$277,500",2,"1,393",295 days
2,$502,First Addition,581 2nd St #581,"$1,100,000",2.5,"2,190",297 days
3,$183,Oswego Point Condos,5052 Foothills Dr #44,"$230,000",2,"1,252",299 days
4,$197,Lake Oswego,12635 Adrian Ct,"$526,994",2.5,"2,662",307 days
3,$357,Lake Oswego,701 4th St,"$1,030,000",2.5,"2,885",309 days
3,$265,First Addition,595 D Ave,"$1,000,000",3,"3,760",309 days
4,$237,Country Commons,13265 Fox Run,"$620,500",2.5,"2,614",312 days
3,$218,RED FOX HILLS,1819 Boca Ratan Dr,"$307,500",2.5,"1,405",313 days
2,$456,Lake Oswego,583 2nd St #401,"$1,000,000",2.5,"2,190",319 days
2,$252,Red Fox Hills,1448 Bonniebrae Dr,"$255,000",1.5,"1,008",320 days
3,$401,FOREST HILLS,1189 Sun Ct,"$831,000",2.5,"2,072",323 days
3,$299,Lake Oswego,1361 Country Commons Ln,"$935,000",2.5,"3,118",323 days
2,$379,FIrst Addition,523 2nd St #105,"$459,000",2,"1,208",330 days
4,$324,Uplands,14360 Uplands Dr,"$837,000",4,"2,577",332 days
5,$287,First Addition,400 D Ave,"$1,150,000",3.5,"4,000",333 days
4,$297,FIRST ADDITION,401 9th St,"$1,275,000",3.5,"4,288",333 days
4,$223,Uplands,13951 SW Shireva Ct,"$489,000",3,"2,185",334 days
3,$270,Red Fox Hills,1270 SW Hideaway Ct,"$625,000",2.5,"2,312",340 days
,,The Highlands,1893 Highlands Loop,"$1,390,000",,,344 days
4,$320,1ST ADDITION,426 7th St,"$976,600",2.5,"3,046",345 days
3,$160,Lake Oswego,855 G Ave,"$509,000",1.5,"3,165",345 days
2,$295,East End,434 5th St #2,"$323,200",1.5,"1,092",348 days
4,$261,First Addition,891 G Ave,"$635,000",2.5,"2,431",348 days
5,$352,Forest Hills/OLCC Golf course,1345 Chandler Rd,"$2,398,000",4.5,"6,800",351 days
4,$307,Lake Oswego,1000 Atwater Rd,"$1,962,500",5,"6,391",355 days
3,$341,Lake Oswego,345 E Ave,"$540,000",2,"1,582",355 days
4,$334,The Highlands,1836 Highlands Loop,"$1,805,000",5.5,"5,400",358 days
5,$284,First Addition,462 9th St,"$1,240,000",3.5,"4,357",359 days
3,$327,Lake Oswego,1097 C Ave,"$540,000",2,"1,650",361 days
4,$247,Inglenook Estates,12723 Adrian Ct,"$777,427",3,"3,142",365 days
2,$310,First Addition,643 2nd St,"$452,500",2,"1,457",366 days
5,$259,First Addition,827 8th St,"$1,000,000",3.5,"3,852",367 days
4,$197,Lake Oswego,760 Timberline Dr,"$605,000",3,"3,058",375 days
4,$241,Forest Hills,930 Cumberland Rd,"$715,000",2.5,"2,960",379 days
2,$175,Talisman,750 1st St Unit C14,"$237,150",2,"1,350",379 days
4,$190,Lake Oswego,925 SW York Rd,"$425,000",3,"2,232",379 days
4,$319,Lake Oswego,251 D Ave,"$842,200",3,"2,635",380 days
1,$136,Lake Oswego,750 1st St Unit 32,"$135,000",1,986,382 days
3,$221,Lake Oswego,1988 Bonniebrae Dr,"$308,000",2,"1,393",382 days
6,$146,Dunthorpe,50 SW Briarwood Rd,"$880,000",6,"6,000",386 days
4,$117,Lake Oswego,686 8th St,"$375,000",3,"3,200",390 days
4,$365,FIRST ADDITION,851 9th St,"$987,500",2.5,"2,699",393 days
4,$332,Forest Hills,1168 Andrews Rd #1,"$1,210,000",3,"3,636",395 days
,,Lake Oswego,13211 Knaus Rd,"$500,000",,,396 days
,,Lake Oswego,Knaus,"$500,000",,,396 days
4,$314,Lake Oswego,610 9th St,"$1,160,000",3.5,"3,690",400 days
5,$258,Lake Oswego,14084 Goodall Rd,"$1,395,000",5.5,"5,399",400 days
,,Lake Oswego,13707 Fielding Rd,"$240,000",,,403 days
,,Portland,4th St,"$117,500",,,408 days
4,$173,Lake Oswego,820 Boca Ratan Dr,"$386,100",3,"2,220",410 days
4,$267,Knaus/Goodall,1120 Hoodview Ln,"$925,000",3,"3,454",410 days
4,$315,Lake Oswego,13012 Knaus Rd,"$1,539,000",4,"4,875",421 days
4,$207,Lake Oswego,14145 SW Redwood Ct,"$508,000",3,"2,452",422 days
3,$295,Lake Oswego,504 10th St,"$672,500",2,"2,277",423 days
4,$289,First Addition,605 4th St,"$905,000",3,"3,127",429 days
4,$198,Red Fox Hills,2031 Bonniebrae Dr,"$319,900",2,"1,611",435 days
5,$435,Country Club,290 Iron Mountain Blvd,"$2,060,000",5,"4,733",437 days
3,$198,Oswego Pointe,5062 Foothills Dr Unit H,"$249,000",2,"1,252",438 days
2,$214,First Addition,683 5th St,"$450,000",1,"2,100",442 days
2,$288,First Addition,556 6th St,"$450,000",1,"1,560",442 days
,,Lake Oswego,5th St,"$450,000",,,442 days
4,$293,Lake Oswego,496 8th St,"$850,000",2,"2,899",443 days
3,$284,Lake Oswego,1297 Hide A Way Ln,"$522,000",2.5,"1,832",443 days
2,$202,Red Fox Hills,1400 Bonniebrae Dr,"$175,000",1,864,449 days
4,$187,Country Commons,13371 Atwater Ln,"$899,000",3,"4,795",450 days
4,$360,Lake Oswego,893 10th St,"$979,000",2.5,"2,719",456 days
5,$246,Goodall/ Country Club,13286 Goodall Rd,"$1,682,500",6.5,"6,819",456 days
4,$250,Lake Oswego,13017 Knaus Rd,"$1,175,000",3.5,"4,690",456 days
3,$367,First Addition,715 4th St,"$1,015,000",2.5,"2,762",463 days
2,$378,First Addition,629 5th St,"$425,000",1,"1,122",467 days
4,$276,Lake Oswego,1222 Timberline Dr,"$900,000",3,"3,256",471 days
4,$387,Forest Hills,1059 Bayberry Rd,"$1,375,000",3.5,"3,550",474 days
2,$297,First Addition,578 2nd St #6,"$415,000",2.5,"1,394",480 days
4,$360,First Addition,703 5th St,"$979,000",2.5,"2,719",484 days
3,$232,Dolph Place,14201 Dolph Ct,"$432,500",2,"1,864",488 days
3,$303,First Addition,797 F Ave,"$705,000",2.5,"2,323",500 days
2,$376,Lake Oswego,834 6th St,"$400,000",1,"1,062",500 days
5,$336,Lake Oswego,13612 Goodall Rd,"$1,469,000",4.5,"4,362",501 days
,,The Highlands,Street of Dreams Lot 8,"$820,000",,,506 days
,,The Highlands,Street of Dreams Lot 4,"$595,000",,,506 days
,,The Highlands,Street of Dreams Lot 6,"$670,000",,,507 days
3,$318,First Addition,568 9th St,"$900,000",3.5,"2,825",508 days
5,$255,Lake Oswego,12810 Alto Park Rd,"$981,000",3.5,"3,834",509 days
4,$205,Red Fox Hills,751 Briercliff Ln,"$519,950",3,"2,534",512 days
2,$313,First Addition,124 D Ave,"$550,000",2.5,"1,754",514 days
3,$168,Lake OswegoTownhouses,1349 Bonniebrae Dr,"$219,600",1.5,"1,303",515 days
,,The Highlands,Street of Dreams Lot 1,"$695,000",,,541 days
4,$269,Alto Park Estates,12830 Alto Park Rd,"$939,000",3.5,"3,478",547 days
,,The Highlands,Street of Dreams Lot 3,"$625,000",,,547 days
2,$308,First Addition,435 7th St,"$620,000",2,"2,010",550 days
4,$345,Lake Oswego,616 4th St,"$1,049,000",2.5,"3,034",558 days
,,The Highlands,Street of Dreams Lot 5,"$595,000",,,561 days
,,The Highlands,Street of Dreams Lot 7,"$725,000",,,565 days
,,The Highlands,Street of Dreams Lot 2,"$670,000",,,565 days
3,$346,FIRST ADDITION,754 5th St,"$755,000",3,"2,179",577 days
2,$377,First Addition,571 2nd St #307,"$589,500",2,"1,561",582 days
3,$191,Oswego Pointe,5060 Foothills Dr #90,"$240,000",2,"1,252",593 days
2,$357,Lake Oswego,533 2nd St #110,"$455,000",2,"1,274",599 days
4,$179,First Addition,804 2nd St,"$400,000",3,"2,224",604 days
2,$213,Lake Oswego,5057 Foothills Dr Unit H,"$267,500",2,"1,252",610 days
2,$276,First Addition,468 5th St #13,"$302,000",1.5,"1,092",611 days
3,$225,First Addition,831 4th St,"$505,000",1.5,"2,240",612 days
4,$225,The Highlands-SOD 2015,9 Street of Dreams Rd,"$900,000",3.5,"4,000",624 days
3,$279,Country Commons,13327 Atwater Ln,"$840,000",2,"3,004",627 days
5,$205,Lake Oswego,14122 Goodall Rd,"$930,000",4.5,"4,530",631 days
3,$362,First Addition,678 8th St,"$1,050,000",3.5,"2,900",633 days
4,$201,Lake Oswego,14220 Bridge Ct,"$689,000",2.5,"3,419",639 days
2,$181,Lake Oswego,5058 Foothills Dr #104,"$227,000",2,"1,252",649 days
3,$184,Forest Highlands,1531 Bonniebrae Dr,"$239,900",1.5,"1,303",652 days
2,$304,1st Addition,960 9th St,"$460,000",1,"1,509",659 days
4,$278,Lake Oswego,14128 Goodall Rd,"$825,000",2.5,"2,960",659 days
4,$285,Forest Highlands,13888 Goodall Rd,"$1,265,000",3.5,"4,435",666 days
5,$295,Knaus Neighborhood,1633 Leslie Ln,"$1,750,000",4.5,"5,921",666 days
4,$232,First Addition,257 C Ave,"$372,000",2,"1,600",673 days
4,$268,First Addition,744 9th St,"$1,142,058",3.5,"4,255",680 days
2,$292,1st Addition,100 D Ave Unit End,"$540,000",2.5,"1,847",683 days
2,$377,Lake Oswego,551 2nd St #207,"$615,000",2,"1,631",687 days
2,$187,Oswego Pointe Village Condo,5058 Foothills Dr Unit A,"$235,000",2,"1,252",687 days
4,$264,Alto Park Estates,12826 Alto Park Rd,"$950,000",3.5,"3,585",689 days
,,First Addition,890 F Ave,"$455,000",,,689 days
2,$178,RED FOX HILLS,1720 Bonniebrae Dr,"$287,500",2,"1,611",690 days
3,$275,Lake Oswego,435 8th St,"$660,000",3.5,"2,394",695 days
5,$156,Red Fox Hills,1282 Hide A Way Ln,"$515,000",3,"3,300",696 days
5,$208,1st Addition,658 1st St,"$699,000",3.5,"3,359",697 days
2,$368,First Addition,543 2nd St,"$670,000",2.5,"1,816",698 days
5,$498,Forest Hills,1425 Chandler Rd,"$2,535,000",4.5,"5,086",708 days
2,$371,First Addition,577 2nd St #306,"$542,500",2,"1,459",711 days
3,$229,Lake Oswego,363 6th St,"$517,500",3.5,"2,258",712 days
4,$318,Lake Oswego,927 10th St,"$885,000",2.5,"2,780",712 days
2,$162,Talisman,750 1st St Unit D25,"$219,500",2,"1,350",716 days
,,Lake Oswego,13581 Goodall Rd,"$715,000",,,719 days
2,$283,First Addition,828 5th St,"$535,000",2,"1,884",719 days
