beds,$sqft,location,address,price,baths,sqft,days
4,$135,Lake Oswego,4393 Sundew CtListed by: Redfin,"$660,000",2.5,"4,881",743 days
4,$263,Lake Oswego,16545 SW Inverurie Rd,"$606,500",3,"2,300",44 days
4,$297,Lake Oswego,5182 Tree St,"$520,000",2,"1,750",57 days
4,$215,Riverwood Park,18106 Pilkington Rd,"$770,000",4.5,"3,575",57 days
3,$234,Bryan Acres Area,4840 Lamont Way,"$419,000",2,"1,784",57 days
2,$214,UPLANDS PARK LAKE OSWEGO,3916 Carman Dr,"$235,500",2.5,"1,098",58 days
3,$322,Lake Oswego,3312 Sabina Ct,"$536,500",2,"1,665",66 days
3,$319,Lake Oswego,5215 Madrona St,"$417,000",2,"1,305",93 days
4,$194,BRYANT ACRES,5124 Lakeview Blvd,"$570,000",3,"2,932",95 days
4,$306,Lake Oswego,4851 Madrona St,"$460,000",2,"1,500",122 days
3,$195,South Shore,4331 Lords Ln,"$452,500",3,"2,320",192 days
4,$230,Lake Oswego,17162 Warren Ct,"$515,000",2.5,"2,231",225 days
3,$221,Lake Oswego,15213 Quarry Rd,"$390,000",2,"1,761",249 days
3,$293,Lake Oswego,16735 Lake Forest Blvd,"$350,000",2,"1,192",253 days
2,$252,Waluga,4343 SW Beasley Way,"$280,000",2,"1,110",311 days
3,$270,Pilkington Glen,18086 Jenifers Way,"$699,000",2.5,"2,582",316 days
4,$194,"Heritage Hills, Lake Grove",15518 Heritage Ct,"$525,000",3.5,"2,700",352 days
4,$235,Kimberly Woods,5864 Stewart Glenn Ct,"$760,000",2.5,"3,224",353 days
4,$267,Lake Oswego,4540 Lamont Way,"$949,900",2.5,"3,555",368 days
4,$233,Lake Oswego,71 Touchstone,"$516,000",3,"2,211",387 days
4,$267,Rosewood,5051 Tualata Ln,"$423,000",2,"1,581",393 days
5,$163,Lake Oswego,4405 Sundew Ct,"$789,000",3.5,"4,820",410 days
4,$177,WOODSIDE,4283 Woodside Cir,"$359,900",2,"2,032",428 days
3,$154,Lake Grove,16470 Bryant Rd,"$312,500",2,"2,024",456 days
4,$207,Lake Oswego,15947 Waluga Dr,"$700,000",2.5,"3,370",456 days
3,$209,Lake Oswego,5324 Lower Dr,"$426,300",2.5,"2,034",458 days
4,$185,West Grove Village,6459 Frost St,"$488,500",2.5,"2,627",472 days
3,$324,Lake Oswego,5530 Bonita Rd,"$389,900",2,"1,200",473 days
3,$236,Bryant Acres,4670 Lower Dr,"$374,900",2.5,"1,587",479 days
3,$207,West Bay,4070 Virginia Way,"$730,000",2.5,"3,510",479 days
3,$214,LAKE GROVE/BRYANT,4820 Lamont WaySold by: Redfin,"$380,000",2.5,"1,768",501 days
4,$186,Lake View Villas,4104 Lakeview Blvd,"$420,000",2,"2,252",537 days
3,$205,Lake Oswego,4765 Firwood Rd,"$355,000",2,"1,728",561 days
