beds,$sqft,location,address,price,baths,sqft,days
4,$185,Lake Oswego,18978 Indian Springs RdListed by: Redfin,"$529,900",3,"2,860",44 days
4,$205,Lake Oswego,5157 Woodcrest LnListed by: Redfin,"$645,000",2.5,"3,144",449 days
4,$199,Lake Oswego,4252 Albert Cir,"$590,000",2.5,"2,964",30 days
4,$264,Lake Oswego,5829 Benfield Ct,"$461,000",2.5,"1,744",50 days
4,$297,Lake Oswego,5182 Tree St,"$520,000",2,"1,750",57 days
4,$215,Riverwood Park,18106 Pilkington Rd,"$770,000",4.5,"3,575",57 days
4,$327,Tualata Grove,18547 Timbergrove Ct,"$468,455",2,"1,432",64 days
4,$194,BRYANT ACRES,5124 Lakeview Blvd,"$570,000",3,"2,932",95 days
3,$224,RIVERGROVE,6413 McDuff Ct,"$694,500",2.5,"3,091",114 days
3,$300,Lake Oswego,6210 Childs Rd,"$390,000",1.5,"1,296",120 days
3,$215,Indian Meadows,5340 Chinook Ct,"$401,000",2,"1,862",169 days
3,$195,South Shore,4331 Lords Ln,"$452,500",3,"2,320",192 days
3,$270,Pilkington Glen,18086 Jenifers Way,"$699,000",2.5,"2,582",316 days
4,$267,Rosewood,5051 Tualata Ln,"$423,000",2,"1,581",393 days
4,$269,Lake Oswego,18430 Pilkington Rd,"$795,000",3,"2,946",421 days
4,$177,WOODSIDE,4283 Woodside Cir,"$359,900",2,"2,032",428 days
4,$227,Oxford Downs,4258 Albert Cir,"$625,000",2.5,"2,745",509 days
3,$282,Lake Oswego,5487 Tualata Ct,"$339,455",2,"1,200",514 days
3,$248,Lake Oswego,18275 SW Terry Ct,"$315,000",1.5,"1,270",540 days
3,$247,Lake Oswego,5048 Tree St,"$305,000",1.5,"1,232",571 days
3,$273,Lake Oswego,5344 Tualata CtSold by: Redfin,"$344,927",2,"1,263",584 days
3,$241,Lake Grove,6243 SW Dawn St,"$302,500",1.5,"1,254",627 days
3,$270,Lake Oswego,18543 Don Lee WaySold by: Redfin,"$250,000",1,924,631 days
3,$252,Lake Oswego,18963 Longfellow Ave,"$311,000",1.5,"1,232",638 days
3,$234,Rosewood,5713 Kenny St,"$325,000",2,"1,384",659 days
3,$210,Lake Oswego,18978 Indian Springs Cir,"$400,000",2,"1,900",662 days
4,$142,Indian Creek,19180 Indian Creek Ave,"$342,000",3,"2,392",673 days
4,$178,Rivergrove,17900 Canal Rd,"$535,000",3,"2,992",687 days
4,$161,Lake Oswego,18893 Indian Springs Cir,"$460,000",3,"2,841",695 days
3,$212,Lake Oswego,5284 Red Leaf StSold by: Redfin,"$455,000",2.5,"2,142",759 days
3,$269,River Grove,5875 Kenny StSold by: Redfin,"$300,000",1,"1,113",759 days
3,$192,Lake Oswego,17653 Mardee Ave,"$336,000",2,"1,742",864 days
3,$177,Bryant Woods,18600 Indian Creek Dr,"$285,000",2,"1,607",953 days
3,$212,Lake Grove,5139 Tualata Ln,"$324,000",2,"1,524",990 days
5,$181,Bryant Woods,4860 Centerwood St,"$460,000",2.5,"2,533",1037 days
4,$201,Lake Oswego,5272 Tualata Ln,"$510,000",3,"2,529",1081 days
3,$275,LAKE GROVE,17470 Hill Way,"$430,000",2,"1,561",8 days
4,$290,Lake Oswego,4667 Shepherds Ln,"$869,900",3,"2,999",24 days
5,$236,LAKE OSWEGO,17763 Mardee Ave,"$545,000",3,"2,300",26 days
3,$260,RIVERGROVE,18906 Kristi Way,"$485,000",2,"1,864",26 days
,,Lake Oswego,5566 Luce Ln,"$328,250",,,36 days
4,$234,Grove Park,5598 Luce Ln,"$790,000",3,"3,372",45 days
3,$293,Lake Grove Acreage Estates,17614 SW Schalit Way,"$460,000",2,"1,569",51 days
3,$227,Lake Oswego,5266 Charleton Ct,"$470,000",2,"2,063",57 days
6,$148,Lake Oswego,6720 Childs Rd,"$1,027,000",5.5,"6,915",59 days
3,$186,Lake Oswego,18820 65th Ave,"$422,150",3,"2,268",61 days
